Age,Education,Years Employed,Income,Debt,Defaulted,DebtIncomeRatio
40,3,16,116,14.036000000000001,0.0,12.1
50,2,16,71,7.881,0.0,11.1
30,1,0,20,1.0799999999999998,0.0,5.4
26,2,6,30,0.3,0.0,1.0
35,1,10,28,0.364,0.0,1.3
37,3,16,50,18.3,1.0,36.6
52,5,9,70,6.58,1.0,9.4
24,1,5,46,1.748,0.0,3.8
28,1,3,26,2.6,0.0,10.0
29,2,6,57,1.2539999999999998,0.0,2.2
35,1,11,77,3.619,0.0,4.7
54,1,18,114,9.69,0.0,8.5
32,1,10,32,3.6159999999999997,0.0,11.3
32,1,11,53,1.7489999999999999,0.0,3.3
36,1,14,81,5.832,0.0,7.2
31,1,12,24,1.5839999999999999,0.0,6.6
28,1,11,24,0.576,0.0,2.4
34,1,10,33,3.399,1.0,10.3
53,4,7,61,4.819,0.0,7.9
50,1,8,47,3.243,0.0,6.9
52,4,13,234,18.017999999999997,0.0,7.7
30,2,4,15,0.975,0.0,6.5
26,2,0,28,2.604,0.0,9.3
42,2,21,121,3.7510000000000003,0.0,3.1
27,1,6,43,2.107,0.0,4.9
41,1,14,52,3.7960000000000003,0.0,7.3
27,1,10,31,5.363,0.0,17.3
32,1,12,33,3.6959999999999997,0.0,11.2
37,1,12,44,6.468,0.0,14.7
29,1,3,17,1.53,0.0,9.0
27,1,9,45,8.01,1.0,17.8
50,3,25,94,4.982,0.0,5.3
21,3,0,24,1.8479999999999999,0.0,7.7
41,4,14,44,0.748,0.0,1.7
23,2,1,18,3.3659999999999997,1.0,18.7
45,2,9,69,4.623,0.0,6.7
45,2,2,29,1.5659999999999998,0.0,5.4
33,1,6,21,1.5750000000000002,0.0,7.5
21,1,1,16,1.008,0.0,6.3
40,1,6,36,0.756,1.0,2.1
40,2,3,28,2.66,0.0,9.5
56,1,11,59,8.85,0.0,15.0
26,1,2,22,1.408,0.0,6.4
29,1,6,46,2.484,0.0,5.4
29,2,6,65,11.959999999999999,0.0,18.4
39,1,13,27,2.16,0.0,8.0
27,2,1,23,2.8520000000000003,0.0,12.4
25,1,1,15,1.71,1.0,11.4
36,5,5,20,1.62,0.0,8.1
35,1,7,39,6.279,1.0,16.1
25,2,4,33,1.716,0.0,5.2
21,2,2,20,0.8999999999999999,1.0,4.5
23,1,2,16,1.536,1.0,9.6
32,1,14,73,6.4239999999999995,0.0,8.8
34,1,0,20,3.42,0.0,17.1
38,1,5,20,0.299,0.0,1.5
39,1,22,73,10.439,0.0,14.3
46,1,1,21,3.1079999999999997,1.0,14.8
35,2,10,98,13.033999999999999,0.0,13.3
33,4,9,28,1.2040000000000002,0.0,4.3
30,2,12,68,13.668,0.0,20.1
54,3,21,118,16.992,0.0,14.4
42,2,5,41,1.394,0.0,3.4
28,1,9,22,6.094,1.0,27.7
35,1,9,34,1.6999999999999997,0.0,5.0
41,3,16,135,5.94,0.0,4.4
41,1,16,49,0.784,0.0,1.6
53,4,5,78,13.494,1.0,17.3
28,1,4,26,3.51,0.0,13.5
35,1,5,32,4.16,0.0,13.0
42,1,7,25,2.55,0.0,10.2
33,1,11,35,5.565,0.0,15.9
27,3,0,50,7.35,0.0,14.7
48,2,30,148,10.656,0.0,7.2
33,1,2,44,1.364,0.0,3.1
37,1,6,31,3.627,1.0,11.7
31,1,5,23,0.45999999999999996,0.0,2.0
35,3,10,39,4.056,0.0,10.4
48,2,6,66,7.986,0.0,12.1
34,1,16,75,7.800000000000001,0.0,10.4
23,2,2,48,3.6,0.0,7.5
41,2,8,43,0.301,0.0,0.7
52,1,33,139,7.784000000000001,0.0,5.6
39,1,6,61,3.4770000000000003,0.0,5.7
46,1,1,20,2.8000000000000003,0.0,14.0
33,2,4,55,3.85,0.0,7.0
34,3,2,39,5.148,0.0,13.2
34,3,12,47,3.149,0.0,6.7
40,1,9,33,5.61,0.0,17.0
45,3,16,80,2.4000000000000004,0.0,3.0
25,1,1,19,1.311,0.0,6.9
31,2,6,32,7.392,1.0,23.1
34,4,7,40,2.56,0.0,6.4
45,1,23,50,2.0999999999999996,0.0,4.2
44,2,17,129,3.225,0.0,2.5
35,1,13,42,7.3919999999999995,0.0,17.6
22,2,0,14,2.394,0.0,17.1
26,3,3,40,4.32,0.0,10.8
38,1,6,18,2.34,0.0,13.0
27,1,7,26,2.366,0.0,9.1
29,1,11,36,2.196,0.0,6.1
29,2,5,28,5.236,0.0,18.7
22,1,4,24,3.7439999999999998,1.0,15.6
47,1,4,26,2.7039999999999997,0.0,10.4
27,2,5,25,1.701,0.0,6.8
24,1,2,18,1.08,0.0,6.0
52,1,17,73,6.351000000000001,0.0,8.7
26,1,3,29,7.453,1.0,25.7
40,1,22,100,14.600000000000001,0.0,14.6
33,2,12,58,10.671999999999999,0.0,18.4
30,1,0,17,2.04,0.0,12.0
39,2,16,69,1.656,0.0,2.4
24,2,0,16,1.168,0.0,7.3
27,4,0,70,5.6000000000000005,1.0,8.0
38,2,7,64,1.92,0.0,3.0
36,1,9,40,3.92,0.0,9.8
39,1,4,33,2.31,0.0,7.0
43,1,13,76,4.635999999999999,1.0,6.1
24,1,8,17,0.9519999999999998,1.0,5.6
21,1,5,25,2.25,0.0,9.0
26,2,2,24,3.264,1.0,13.6
43,1,11,37,0.481,0.0,1.3
36,3,11,44,6.468,0.0,14.7
43,1,15,62,5.828,0.0,9.4
35,2,11,62,20.088,0.0,32.4
34,2,10,33,3.1350000000000002,0.0,9.5
47,2,17,41,3.895,0.0,9.5
48,1,0,30,6.69,0.0,22.3
29,2,9,46,0.736,0.0,1.6
36,1,7,43,2.666,0.0,6.2
35,1,10,39,2.223,0.0,5.7
39,1,13,38,3.382,0.0,8.9
41,1,21,76,15.58,0.0,20.5
29,3,1,30,1.3499999999999999,0.0,4.5
39,2,18,44,0.924,0.0,2.1
33,1,12,32,3.6159999999999997,0.0,11.3
33,2,8,27,2.646,0.0,9.8
39,1,0,39,3.081,0.0,7.9
40,2,8,57,3.192,0.0,5.6
53,1,33,324,22.68,0.0,7.0
34,1,15,67,8.844,0.0,13.2
29,3,7,84,11.424,1.0,13.6
30,1,0,17,0.629,1.0,3.7
38,3,3,25,0.925,0.0,3.7
25,4,0,24,2.904,1.0,12.1
26,2,6,35,0.6649999999999999,0.0,1.9
25,2,5,35,5.775,0.0,16.5
29,1,8,24,1.6079999999999999,0.0,6.7
28,1,5,22,0.616,0.0,2.8
48,1,30,101,6.464,0.0,6.4
26,1,0,14,1.05,1.0,7.5
36,1,4,23,3.749,0.0,16.3
30,1,12,38,3.23,0.0,8.5
41,1,1,19,0.836,0.0,4.4
34,3,13,52,4.784,0.0,9.2
25,3,3,54,3.9960000000000004,0.0,7.4
45,1,17,62,9.3,0.0,15.0
22,1,4,19,4.388999999999999,1.0,23.1
32,1,13,25,1.875,0.0,7.5
21,2,1,17,1.7850000000000001,0.0,10.5
34,1,6,20,0.24000000000000002,0.0,1.2
31,1,10,49,4.802,1.0,9.8
33,1,7,22,1.408,0.0,6.4
40,2,2,36,1.368,0.0,3.8
36,2,6,27,1.242,1.0,4.6
30,2,2,26,0.9880000000000001,0.0,3.8
35,2,0,35,4.34,0.0,12.4
36,1,7,40,3.96,0.0,9.9
37,1,4,24,3.408,0.0,14.2
32,1,16,38,7.9799999999999995,0.0,21.0
45,1,3,20,0.42,0.0,2.1
27,4,0,25,3.175,1.0,12.7
41,2,4,26,4.992,1.0,19.2
32,2,12,116,6.612,0.0,5.7
48,1,13,50,15.399999999999999,1.0,30.8
50,1,1,26,3.718,0.0,14.3
45,3,0,22,0.924,0.0,4.2
33,2,2,37,1.665,0.0,4.5
33,1,13,52,11.076,1.0,21.3
27,2,8,18,2.1420000000000003,0.0,11.9
36,2,7,43,6.622,0.0,15.4
30,4,7,30,4.710000000000001,0.0,15.7
28,2,3,36,3.096,0.0,8.6
21,3,0,41,7.994999999999999,0.0,19.5
23,2,3,24,1.512,0.0,6.3
23,1,7,22,3.168,0.0,14.4
26,1,10,25,1.775,0.0,7.1
31,1,8,22,1.4740000000000002,0.0,6.7
38,3,13,25,1.425,0.0,5.7
29,3,7,63,3.465,0.0,5.5
32,1,14,36,0.864,0.0,2.4
32,2,8,45,1.665,0.0,3.7
41,1,7,43,1.892,0.0,4.4
27,1,5,26,1.7679999999999998,0.0,6.8
28,2,7,34,2.38,0.0,7.0
25,4,0,18,6.0120000000000005,1.0,33.4
32,1,12,28,0.8119999999999998,0.0,2.9
52,1,16,64,5.504,0.0,8.6
